sample  ref_reads alt_reads total
Cont-A_S1 0 0 0
Cont-B_S2 0 0 0
Cont-C_S3 0 0 0
Cont-D_S4 0 0 0
control_fluorescent_2 0 0 0
control_fluorescent_3 0 0 0
control_none_1 0 0 0
control_none_2 0 0 0
control_none_3 0 0 0
control_scramble_1 0 0 0
control_scramble_2 0 0 0
control_scramble_3 0 0 0
control_scramble_4 0 0 0
control_scramble_5 0 0 0
control_scramble_6 0 0 0
CTR01 0 0 0
CTR02 1 0 1
CTR03 0 0 0
CTR07 1 0 1
CTR08 0 0 0
CTR09 0 0 0
siDAZAP_1 2 0 2
siDAZAP_2 0 0 0
siDAZAP_3 0 0 0
sihnRNP_Q_1 0 0 0
sihnRNP_Q_2 0 0 0
sihnRNP_Q_3 0 0 0
sihnRNP_R_1 0 0 0
sihnRNP_R_2 0 0 0
sihnRNP_R_3 0 0 0
siLUC_1 0 0 0
siLUC_2 1 0 1
siLUC_3 0 0 0
siTDP_1 1 5 6
siTDP_2 2 5 7
siTDP_3 4 2 6
TDP04 53 63 116
TDP05 30 75 105
TDP06 33 58 91
TDP10 1 0 1
TDP11 8 0 8
TDP12 3 0 3
TDP43-E_S5 16 14 30
TDP43-F_S6 54 45 99
TDP43-G_S7 31 20 51
TDP43_knockdown_1 4 6 10
TDP43_knockdown_2 4 6 10
TDP43_knockdown_3 3 0 3
TDP43_knockdown_4 1 0 1
TDP43_knockdown_5 0 0 0
TDP43_knockdown_6 0 1 1
