gene_name,gene_id,transcript_id
TSPAN6,ENSG00000000003.14,ENST00000373020.8
TNMD,ENSG00000000005.5,ENST00000373031.4
DPM1,ENSG00000000419.12,ENST00000371582.8
SCYL3,ENSG00000000457.13,ENST00000367772.8
C1orf112,ENSG00000000460.16,ENST00000286031.10
FGR,ENSG00000000938.12,ENST00000374005.7
CFH,ENSG00000000971.15,ENST00000367429.8
FUCA2,ENSG00000001036.13,ENST00000002165.10
GCLC,ENSG00000001084.12,ENST00000229416.10
NFYA,ENSG00000001167.14,ENST00000341376.10
STPG1,ENSG00000001460.17,ENST00000374409.5
NIPAL3,ENSG00000001461.16,ENST00000374399.8
LAS1L,ENSG00000001497.16,ENST00000374811.7
ENPP4,ENSG00000001561.6,ENST00000321037.4
SEMA3F,ENSG00000001617.11,ENST00000002829.7
CFTR,ENSG00000001626.15,ENST00000003084.10
ANKIB1,ENSG00000001629.9,ENST00000265742.7
CYP51A1,ENSG00000001630.16,ENST00000003100.12
KRIT1,ENSG00000001631.15,ENST00000394507.5
RAD52,ENSG00000002016.17,ENST00000358495.7
BAD,ENSG00000002330.13,ENST00000394532.7
LAP3,ENSG00000002549.12,ENST00000226299.8
CD99,ENSG00000002586.19,ENST00000381192.9
HS3ST1,ENSG00000002587.9,ENST00000002596.5
AOC1,ENSG00000002726.20,ENST00000416793.6
WNT16,ENSG00000002745.12,ENST00000222462.2
HECW1,ENSG00000002746.14,ENST00000395891.6
MAD1L1,ENSG00000002822.15,ENST00000406869.5
LASP1,ENSG00000002834.17,ENST00000318008.10
SNX11,ENSG00000002919.14,ENST00000393405.6
TMEM176A,ENSG00000002933.8,ENST00000484928.5
M6PR,ENSG00000003056.7,ENST00000000412.7
KLHL13,ENSG00000003096.14,ENST00000469946.5
CYP26B1,ENSG00000003137.8,ENST00000001146.6
ICA1,ENSG00000003147.18,ENST00000402384.7
DBNDD1,ENSG00000003249.13,ENST00000568838.1
ALS2,ENSG00000003393.14,ENST00000264276.10
CASP10,ENSG00000003400.14,ENST00000286186.10
CFLAR,ENSG00000003402.19,ENST00000309955.7
TFPI,ENSG00000003436.15,ENST00000233156.8
NDUFAF7,ENSG00000003509.15,ENST00000002125.8
RBM5,ENSG00000003756.16,ENST00000347869.7
MTMR7,ENSG00000003987.13,ENST00000180173.9
SLC7A2,ENSG00000003989.17,ENST00000004531.14
ARF5,ENSG00000004059.10,ENST00000000233.9
SARM1,ENSG00000004139.13,ENST00000585482.5
POLDIP2,ENSG00000004142.11,ENST00000540200.5
PLXND1,ENSG00000004399.12,ENST00000324093.8
AK2,ENSG00000004455.16,ENST00000354858.10
CD38,ENSG00000004468.12,ENST00000226279.7
FKBP4,ENSG00000004478.7,ENST00000001008.5
KDM1A,ENSG00000004487.16,ENST00000400181.8
RBM6,ENSG00000004534.14,ENST00000266022.8
CAMKK1,ENSG00000004660.14,ENST00000158166.5
RECQL,ENSG00000004700.15,ENST00000444129.6
VPS50,ENSG00000004766.16,ENST00000305866.9
HSPB6,ENSG00000004776.12,ENST00000004982.5
ARHGAP33,ENSG00000004777.18,ENST00000314737.9
NDUFAB1,ENSG00000004779.9,ENST00000570319.5
PDK4,ENSG00000004799.7,ENST00000005178.5
SLC22A16,ENSG00000004809.13,ENST00000368919.7
ZMYND10,ENSG00000004838.13,ENST00000231749.7
ABCB5,ENSG00000004846.16,ENST00000404938.6
ARX,ENSG00000004848.7,ENST00000379044.4
SLC25A13,ENSG00000004864.13,ENST00000416240.6
ST7,ENSG00000004866.20,ENST00000265437.9
CDC27,ENSG00000004897.11,ENST00000531206.5
SLC4A1,ENSG00000004939.14,ENST00000262418.11
CALCR,ENSG00000004948.14,ENST00000359558.6
HCCS,ENSG00000004961.14,ENST00000321143.8
DVL2,ENSG00000004975.11,ENST00000005340.9
PRSS22,ENSG00000005001.9,ENST00000161006.7
UPF1,ENSG00000005007.12,ENST00000599848.5
SKAP2,ENSG00000005020.12,ENST00000345317.6
SLC25A5,ENSG00000005022.5,ENST00000317881.8
MCUB,ENSG00000005059.15,ENST00000394650.6
HOXA11,ENSG00000005073.5,ENST00000006015.3
POLR2J,ENSG00000005075.15,ENST00000292614.9
DHX33,ENSG00000005100.12,ENST00000225296.7
MEOX1,ENSG00000005102.12,ENST00000318579.8
THSD7A,ENSG00000005108.15,ENST00000423059.8
LIG3,ENSG00000005156.11,ENST00000378526.8
RPAP3,ENSG00000005175.9,ENST00000005386.7
ACSM3,ENSG00000005187.11,ENST00000289416.9
REXO5,ENSG00000005189.19,ENST00000261377.10
CIAPIN1,ENSG00000005194.14,ENST00000394391.8
SPPL2B,ENSG00000005206.16,ENST00000613503.4
FAM214B,ENSG00000005238.19,ENST00000378561.5
COPZ2,ENSG00000005243.9,ENST00000621465.4
PRKAR2B,ENSG00000005249.12,ENST00000265717.4
MSL3,ENSG00000005302.18,ENST00000312196.9
CREBBP,ENSG00000005339.14,ENST00000262367.9
TSPOAP1,ENSG00000005379.16,ENST00000343736.8
MPO,ENSG00000005381.7,ENST00000225275.3
PON1,ENSG00000005421.8,ENST00000222381.7
GCFC2,ENSG00000005436.13,ENST00000321027.7
WDR54,ENSG00000005448.16,ENST00000348227.4
CROT,ENSG00000005469.11,ENST00000419147.6
ABCB4,ENSG00000005471.17,ENST00000265723.8
KMT2E,ENSG00000005483.20,ENST00000311117.7
RHBDD2,ENSG00000005486.16,ENST00000006777.10
SOX8,ENSG00000005513.9,ENST00000293894.3
IBTK,ENSG00000005700.14,ENST00000306270.11
ZNF195,ENSG00000005801.17,ENST00000399602.8
FBXL3,ENSG00000005812.10,ENST00000355619.9
ITGAL,ENSG00000005844.17,ENST00000356798.10
PDK2,ENSG00000005882.11,ENST00000503176.5
ITGA3,ENSG00000005884.17,ENST00000320031.12
ZFX,ENSG00000005889.15,ENST00000379188.7
LAMP2,ENSG00000005893.15,ENST00000434600.6
ITGA2B,ENSG00000005961.18,ENST00000262407.5
ASB4,ENSG00000005981.12,ENST00000325885.5
GDE1,ENSG00000006007.11,ENST00000353258.7
REX1BD,ENSG00000006015.17,ENST00000358607.10
CRLF1,ENSG00000006016.10,ENST00000392386.7
OSBPL7,ENSG00000006025.11,ENST00000007414.7
TMEM98,ENSG00000006042.11,ENST00000579849.5
YBX2,ENSG00000006047.12,ENST00000007699.9
KRT33A,ENSG00000006059.3,ENST00000007735.3
MAP3K14,ENSG00000006062.15,ENST00000376926.8
ABCC8,ENSG00000006071.13,ENST00000302539.9
CACNG3,ENSG00000006116.3,ENST00000005284.3
TMEM132A,ENSG00000006118.14,ENST00000005286.8
AP2B1,ENSG00000006125.17,ENST00000618940.4
TAC1,ENSG00000006128.11,ENST00000319273.9
ZNF263,ENSG00000006194.9,ENST00000219069.5
CX3CL1,ENSG00000006210.6,ENST00000006053.6
SPATA20,ENSG00000006282.20,ENST00000006658.10
CACNA1G,ENSG00000006283.17,ENST00000359106.9
TNFRSF12A,ENSG00000006327.13,ENST00000326577.8
DLX6,ENSG00000006377.10,ENST00000518156.2
MAP3K9,ENSG00000006432.15,ENST00000555993.6
RALA,ENSG00000006451.7,ENST00000005257.6
BAIAP2L1,ENSG00000006453.13,ENST00000005260.8
KDM7A,ENSG00000006459.10,ENST00000397560.6
ETV1,ENSG00000006468.13,ENST00000430479.5
AGK,ENSG00000006530.16,ENST00000355413.8
ALDH3B1,ENSG00000006534.15,ENST00000342456.10
TTC22,ENSG00000006555.10,ENST00000371276.8
PHTF2,ENSG00000006576.16,ENST00000422959.6
CCL26,ENSG00000006606.8,ENST00000394905.2
FARP2,ENSG00000006607.13,ENST00000264042.7
USH1C,ENSG00000006611.15,ENST00000005226.11
GGCT,ENSG00000006625.17,ENST00000275428.8
DBF4,ENSG00000006634.7,ENST00000265728.5
TBXA2R,ENSG00000006638.11,ENST00000411851.3
IFRD1,ENSG00000006652.13,ENST00000403825.7
LGALS14,ENSG00000006659.12,ENST00000360675.7
COX10,ENSG00000006695.10,ENST00000261643.7
GTF2IRD1,ENSG00000006704.10,ENST00000455841.6
PAF1,ENSG00000006712.14,ENST00000221265.7
VPS41,ENSG00000006715.15,ENST00000310301.8
ARHGAP44,ENSG00000006740.16,ENST00000379672.9
ELAC2,ENSG00000006744.18,ENST00000338034.8
SCIN,ENSG00000006747.14,ENST00000297029.9
ARSD,ENSG00000006756.15,ENST00000381154.5
PNPLA4,ENSG00000006757.11,ENST00000381042.8
MYH13,ENSG00000006788.13,ENST00000418404.8
ADIPOR2,ENSG00000006831.9,ENST00000357103.4
CDKL3,ENSG00000006837.11,ENST00000265334.8
UPP2,ENSG00000007001.12,ENST00000605860.5
PRSS21,ENSG00000007038.10,ENST00000005995.7
MARK4,ENSG00000007047.14,ENST00000262891.8
PROM1,ENSG00000007062.11,ENST00000510224.5
CCDC124,ENSG00000007080.10,ENST00000597436.5
CEACAM21,ENSG00000007129.17,ENST00000401445.3
PAFAH1B1,ENSG00000007168.12,ENST00000397195.9
NOS2,ENSG00000007171.17,ENST00000313735.10
DNAH9,ENSG00000007174.17,ENST00000262442.8
KIAA0100,ENSG00000007202.14,ENST00000528896.6
SLC13A2,ENSG00000007216.14,ENST00000444914.7
GAS7,ENSG00000007237.18,ENST00000432992.6
TRAPPC6A,ENSG00000007255.10,ENST00000006275.8
MATK,ENSG00000007264.14,ENST00000395045.6
CEACAM7,ENSG00000007306.14,ENST00000006724.7
CD79B,ENSG00000007312.12,ENST00000392795.7
SCN4A,ENSG00000007314.12,ENST00000435607.3
ST7L,ENSG00000007341.18,ENST00000358039.8
TKTL1,ENSG00000007350.16,ENST00000369915.7
PAX6,ENSG00000007372.22,ENST00000640368.1
RPUSD1,ENSG00000007376.7,ENST00000561734.5
RHBDF1,ENSG00000007384.15,ENST00000262316.10
LUC7L,ENSG00000007392.16,ENST00000293872.12
CACNA2D2,ENSG00000007402.11,ENST00000479441.1
BAIAP3,ENSG00000007516.13,ENST00000324385.9
TSR3,ENSG00000007520.3,ENST00000007390.2
PIGQ,ENSG00000007541.16,ENST00000026218.9
CRAMP1,ENSG00000007545.15,ENST00000397412.7
TEAD3,ENSG00000007866.20,ENST00000338863.11
SELE,ENSG00000007908.15,ENST00000333360.11
DNAJC11,ENSG00000007923.15,ENST00000377577.9
FMO3,ENSG00000007933.12,ENST00000367755.8
MYLIP,ENSG00000007944.14,ENST00000356840.7
NOX1,ENSG00000007952.17,ENST00000372966.7
E2F2,ENSG00000007968.6,ENST00000361729.2
PSMB1,ENSG00000008018.8,ENST00000262193.6
SYN1,ENSG00000008056.13,ENST00000295987.12
JARID2,ENSG00000008083.13,ENST00000341776.6
CDKL5,ENSG00000008086.11,ENST00000379989.6
CAMK1G,ENSG00000008118.9,ENST00000009105.5
CDK11A,ENSG00000008128.22,ENST00000378633.5
NADK,ENSG00000008130.15,ENST00000378625.5
TFAP2B,ENSG00000008196.12,ENST00000393655.3
TFAP2D,ENSG00000008197.4,ENST00000008391.3
DLEC1,ENSG00000008226.19,ENST00000308059.10
CYTH3,ENSG00000008256.15,ENST00000350796.7
ADAM22,ENSG00000008277.14,ENST00000265727.11
SYPL1,ENSG00000008282.8,ENST00000011473.6
CYB561,ENSG00000008283.15,ENST00000582997.5
SPAG9,ENSG00000008294.20,ENST00000262013.11
CELSR3,ENSG00000008300.16,ENST00000164024.4
AASS,ENSG00000008311.14,ENST00000393376.5
PLEKHG6,ENSG00000008323.15,ENST00000396988.7
SS18L2,ENSG00000008324.11,ENST00000447630.5
MPND,ENSG00000008382.15,ENST00000599840.5
MGST1,ENSG00000008394.12,ENST00000396209.5
CRY1,ENSG00000008405.11,ENST00000008527.9
PGLYRP1,ENSG00000008438.4,ENST00000008938.4
NFIX,ENSG00000008441.16,ENST00000397661.6
ST3GAL1,ENSG00000008513.15,ENST00000521180.5
MMP25,ENSG00000008516.16,ENST00000336577.8
IL32,ENSG00000008517.16,ENST00000534507.5
PKD1,ENSG00000008710.19,ENST00000262304.8
MAPK8IP2,ENSG00000008735.13,ENST00000329492.5
MED24,ENSG00000008838.19,ENST00000501516.7
RHOBTB2,ENSG00000008853.16,ENST00000519685.5
HEATR5B,ENSG00000008869.11,ENST00000233099.5
SEC62,ENSG00000008952.16,ENST00000337002.8
RPS20,ENSG00000008988.9,ENST00000519807.5
CSDE1,ENSG00000009307.15,ENST00000610726.4
UBE3C,ENSG00000009335.17,ENST00000348165.9
REV3L,ENSG00000009413.15,ENST00000358835.7
TENM1,ENSG00000009694.13,ENST00000422452.2
PAX7,ENSG00000009709.11,ENST00000375375.7
MASP2,ENSG00000009724.16,ENST00000400897.7
IYD,ENSG00000009765.14,ENST00000229447.9
FAM76A,ENSG00000009780.15,ENST00000010299.10
TRAF3IP3,ENSG00000009790.14,ENST00000367024.5
POMT2,ENSG00000009830.11,ENST00000261534.8
VTA1,ENSG00000009844.15,ENST00000367630.8
MLXIPL,ENSG00000009950.15,ENST00000313375.7
BAZ1B,ENSG00000009954.10,ENST00000339594.8
RANBP9,ENSG00000010017.12,ENST00000011619.5
ETV7,ENSG00000010030.13,ENST00000340181.8
SPRTN,ENSG00000010072.15,ENST00000295050.11
METTL13,ENSG00000010165.19,ENST00000361735.3
DYRK4,ENSG00000010219.13,ENST00000540757.6
ZNF207,ENSG00000010244.18,ENST00000394670.8
UQCRC1,ENSG00000010256.10,ENST00000203407.5
STARD3NL,ENSG00000010270.13,ENST00000009041.11
CD9,ENSG00000010278.13,ENST00000382518.6
HHATL,ENSG00000010282.14,ENST00000441594.5
NCAPD2,ENSG00000010292.12,ENST00000315579.9
IFFO1,ENSG00000010295.19,ENST00000619571.4
GIPR,ENSG00000010310.8,ENST00000590918.5
PHF7,ENSG00000010318.20,ENST00000327906.7
SEMA3G,ENSG00000010319.6,ENST00000231721.6
NISCH,ENSG00000010322.15,ENST00000345716.8
STAB1,ENSG00000010327.10,ENST00000321725.10
FUZ,ENSG00000010361.13,ENST00000313777.8
SLC6A13,ENSG00000010379.15,ENST00000343164.8
IDS,ENSG00000010404.17,ENST00000340855.10
PRSS3,ENSG00000010438.16,ENST00000361005.9
ZNF200,ENSG00000010539.11,ENST00000431561.7
CD4,ENSG00000010610.9,ENST00000011653.8
LRRC23,ENSG00000010626.14,ENST00000443597.6
BTK,ENSG00000010671.15,ENST00000621635.4
HFE,ENSG00000010704.18,ENST00000357618.9
SCMH1,ENSG00000010803.16,ENST00000326197.11
FYN,ENSG00000010810.17,ENST00000354650.7
HIVEP2,ENSG00000010818.9,ENST00000367604.6
FMO1,ENSG00000010932.16,ENST00000354841.4
ELOA,ENSG00000011007.12,ENST00000418390.6
LYPLA2,ENSG00000011009.10,ENST00000374514.7
CLCN6,ENSG00000011021.22,ENST00000346436.10
MRC2,ENSG00000011028.13,ENST00000303375.9
NME1-NME2,ENSG00000011052.21,ENST00000393193.6
SLC6A7,ENSG00000011083.8,ENST00000230671.6
TSPAN9,ENSG00000011105.13,ENST00000011898.9
BTBD7,ENSG00000011114.14,ENST00000334746.9
APBA3,ENSG00000011132.11,ENST00000316757.3
MKS1,ENSG00000011143.16,ENST00000393119.6
ABHD5,ENSG00000011198.9,ENST00000644371.1
ANOS1,ENSG00000011201.11,ENST00000262648.7
AKAP8L,ENSG00000011243.17,ENST00000397410.9
MBTD1,ENSG00000011258.15,ENST00000586178.5
UTP18,ENSG00000011260.13,ENST00000225298.11
RNF216,ENSG00000011275.18,ENST00000389902.7
TTC19,ENSG00000011295.15,ENST00000261647.9
PTBP1,ENSG00000011304.19,ENST00000356948.10
DPF1,ENSG00000011332.19,ENST00000355526.8
SYT7,ENSG00000011347.9,ENST00000540677.5
LARS2,ENSG00000011376.10,ENST00000415258.5
PIK3C2A,ENSG00000011405.13,ENST00000265970.11
PLAUR,ENSG00000011422.11,ENST00000340093.7
ANLN,ENSG00000011426.10,ENST00000265748.6
WIZ,ENSG00000011451.19,ENST00000599686.3
RABGAP1,ENSG00000011454.16,ENST00000373647.8
DCN,ENSG00000011465.16,ENST00000052754.9
QPCTL,ENSG00000011478.11,ENST00000012049.9
PPP5C,ENSG00000011485.14,ENST00000012443.8
CEP68,ENSG00000011523.13,ENST00000377990.6
MAP4K3,ENSG00000011566.14,ENST00000263881.7
ZBTB32,ENSG00000011590.13,ENST00000392197.6
TYROBP,ENSG00000011600.11,ENST00000262629.8
TMEM159,ENSG00000011638.10,ENST00000451578.6
GABRA3,ENSG00000011677.12,ENST00000370314.8
BRCA1,ENSG00000012048.21,ENST00000471181.7
ERCC1,ENSG00000012061.15,ENST00000013807.9
CD22,ENSG00000012124.16,ENST00000085219.9
SEMA3B,ENSG00000012171.19,ENST00000611067.4
MBTPS2,ENSG00000012174.11,ENST00000379484.9
