protein,condition,gene
6880000,Control,UNC13B
6210000,Control,UNC13B
5630000,Control,UNC13B
5100000,Control,UNC13B
5955000,Control,UNC13B
5.13E+07,Control,TDP-43
4.12E+07,Control,TDP-43
4.17E+07,Control,TDP-43
4.18E+07,Control,TDP-43
4.40E+07,Control,TDP-43
4.40E+07,Control,TDP-43
57700,Control,UNC13A
78400,Control,UNC13A
115000,Control,UNC13A
92600,Control,UNC13A
85925,Control,UNC13A
4040000,TDP-43 KD,UNC13B
2270000,TDP-43 KD,UNC13B
3190000,TDP-43 KD,UNC13B
2590000,TDP-43 KD,UNC13B
3022500,TDP-43 KD,UNC13B
2.12E+07,TDP-43 KD,TDP-43
1.29E+07,TDP-43 KD,TDP-43
1.79E+07,TDP-43 KD,TDP-43
1.24E+07,TDP-43 KD,TDP-43
1.61E+07,TDP-43 KD,TDP-43
1.61E+07,TDP-43 KD,TDP-43
25300,TDP-43 KD,UNC13A
20700,TDP-43 KD,UNC13A
40000,TDP-43 KD,UNC13A
10100,TDP-43 KD,UNC13A
24025,TDP-43 KD,UNC13A
