value,condition,gene
1,DMSO,hNRNPL
1,DMSO,hNRNPL
1,DMSO,hNRNPL
1,DMSO,hNRNPL
1,DMSO,hNRNPL
2.18749267,CHX,hNRNPL
5.549217373,CHX,hNRNPL
2.283030912,CHX,hNRNPL
2.273969792,CHX,hNRNPL
4.843463681,CHX,hNRNPL
1,DMSO,STMN2
1,DMSO,STMN2
1,DMSO,STMN2
1,DMSO,STMN2
1,DMSO,STMN2
1.50312303642523,CHX,STMN2
1.54517008887095,CHX,STMN2
1.35139389443664,CHX,STMN2
1.221478945,CHX,STMN2
0.710368131,CHX,STMN2
1,DMSO,UNC13A
1,DMSO,UNC13A
1,DMSO,UNC13A
1,DMSO,UNC13A
1,DMSO,UNC13A
14.6621462,CHX,UNC13A
7.937111554,CHX,UNC13A
8.9906568,CHX,UNC13A
9.250028526,CHX,UNC13A
11.8965542,CHX,UNC13A
1,DMSO,UNC13B
1,DMSO,UNC13B
1,DMSO,UNC13B
1,DMSO,UNC13B
1,DMSO,UNC13B
16.76552953,CHX,UNC13B
9.68415588,CHX,UNC13B
25.29437465,CHX,UNC13B
15.17495385,CHX,UNC13B
15.18794982,CHX,UNC13B
