Gene,Condition,Value,Set
TDP43,Non-treated,1,A
TDP43,Non-treated,1,A
TDP43,Non-treated,1,A
TDP43,Non-treated,1,A
TDP43,siTDP43,0.066855714,A
TDP43,siTDP43,0.111769053,A
TDP43,siTDP43,0.092557549,A
TDP43,siTDP43,0.096627025,A
TDP43,siTDP43+siCTRL,0.059875221,A
TDP43,siTDP43+siCTRL,0.092877286,A
TDP43,siTDP43+siCTRL,0.082451289,A
TDP43,siTDP43+siCTRL,0.072163361,A
TDP43,siTDP43+siUPF1,0.094578918,A
TDP43,siTDP43+siUPF1,0.116909881,A
TDP43,siTDP43+siUPF1,0.144383021,A
TDP43,siTDP43+siUPF1,0.168658739,A
UPF1,Non-treated,1.300142198,B
UPF1,Non-treated,1.093850815,B
UPF1,Non-treated,1.281182711,B
UPF1,Non-treated,1.162793908,B
UPF1,siTDP43,0.822230871,B
UPF1,siTDP43,1.14662975,B
UPF1,siTDP43,1.074657952,B
UPF1,siTDP43,1.008883011,B
UPF1,siTDP43+siCTRL,1,B
UPF1,siTDP43+siCTRL,1,B
UPF1,siTDP43+siCTRL,1,B
UPF1,siTDP43+siCTRL,1,B
UPF1,siTDP43+siUPF1,0.194804132,B
UPF1,siTDP43+siUPF1,0.174357309,B
UPF1,siTDP43+siUPF1,0.234070417,B
UPF1,siTDP43+siUPF1,0.226764183,B
hnRNPL,siTDP43+siCTRL,1,C
hnRNPL,siTDP43+siCTRL,1,C
hnRNPL,siTDP43+siCTRL,1,C
hnRNPL,siTDP43+siCTRL,1,C
hnRNPL,siTDP43+siUPF1,1.38403659,C
hnRNPL,siTDP43+siUPF1,1.233399596,C
hnRNPL,siTDP43+siUPF1,1.311868849,C
hnRNPL,siTDP43+siUPF1,1.536294057,C
STMN2,siTDP43+siCTRL,1,C
STMN2,siTDP43+siCTRL,1,C
STMN2,siTDP43+siCTRL,1,C
STMN2,siTDP43+siCTRL,1,C
STMN2,siTDP43+siUPF1,0.668733019,C
STMN2,siTDP43+siUPF1,0.555900578,C
STMN2,siTDP43+siUPF1,0.943333723,C
STMN2,siTDP43+siUPF1,0.762630006,C
UNC13A,siTDP43+siCTRL,1,C
UNC13A,siTDP43+siCTRL,1,C
UNC13A,siTDP43+siCTRL,1,C
UNC13A,siTDP43+siCTRL,1,C
UNC13A,siTDP43+siUPF1,1.953710524,C
UNC13A,siTDP43+siUPF1,1.967088655,C
UNC13A,siTDP43+siUPF1,1.522162616,C
UNC13A,siTDP43+siUPF1,1.158900825,C
UNC13B,siTDP43+siCTRL,1,C
UNC13B,siTDP43+siCTRL,1,C
UNC13B,siTDP43+siCTRL,1,C
UNC13B,siTDP43+siCTRL,1,C
UNC13B,siTDP43+siUPF1,3.249813932,C
UNC13B,siTDP43+siUPF1,2.608546415,C
UNC13B,siTDP43+siUPF1,1.841905902,C
UNC13B,siTDP43+siUPF1,2.528035127,C
