gene_id,sh_ca,sh_cb,sh_cc,sh_tdpa,sh_tdpb,sh_tdpc
ENSG00000186092.6,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0
ENSG00000187634.11,44,65,58,72,92,111
ENSG00000188976.10,35,41,60,75,91,126
ENSG00000187961.13,7,23,15,23,23,36
ENSG00000187583.10,0,0,0,0,1,0
ENSG00000187642.9,0,0,0,1,0,0
ENSG00000188290.10,15,31,25,46,52,57
ENSG00000187608.9,0,2,0,1,1,2
ENSG00000188157.14,37,77,88,187,272,301
ENSG00000237330.2,0,0,0,0,0,0
ENSG00000131591.17,6,7,7,11,8,9
ENSG00000162571.13,0,0,1,0,0,0
ENSG00000186891.13,0,0,0,0,1,0
ENSG00000186827.10,0,0,0,0,1,0
ENSG00000078808.16,15,20,25,44,63,68
ENSG00000176022.5,0,9,5,6,8,14
ENSG00000184163.3,0,1,1,3,2,0
ENSG00000160087.20,21,40,39,53,77,87
ENSG00000162572.20,2,3,3,8,11,11
ENSG00000131584.18,61,79,76,120,178,200
ENSG00000169972.11,1,11,11,18,17,21
ENSG00000127054.20,50,43,62,72,111,107
ENSG00000224051.6,8,11,11,12,20,20
ENSG00000169962.4,0,0,1,1,5,3
ENSG00000107404.19,22,24,18,21,32,51
ENSG00000162576.16,1,0,3,0,4,6
ENSG00000175756.13,45,57,70,72,113,136
ENSG00000221978.11,35,61,52,91,135,141
ENSG00000242485.5,19,36,43,58,63,78
ENSG00000235098.8,0,2,0,2,0,0
ENSG00000205116.3,0,3,0,2,0,0
ENSG00000179403.11,0,1,1,3,2,2
ENSG00000215915.9,0,0,0,0,1,0
ENSG00000160072.19,1,4,6,3,12,8
ENSG00000197785.13,7,10,8,9,16,19
ENSG00000205090.8,1,6,5,9,12,8
ENSG00000160075.11,17,36,25,40,49,80
ENSG00000228594.3,0,5,3,1,3,7
ENSG00000197530.12,20,25,35,36,62,70
ENSG00000189409.13,0,0,0,0,0,0
ENSG00000248333.8,15,16,14,24,33,40
ENSG00000189339.11,10,15,12,13,29,27
ENSG00000008128.22,11,6,9,9,15,22
ENSG00000215790.7,2,2,1,1,6,9
ENSG00000008130.15,19,25,18,25,39,46
ENSG00000078369.17,390,636,506,679,979,1073
ENSG00000169885.9,0,0,0,0,0,0
ENSG00000178821.12,0,0,1,0,1,0
ENSG00000142609.18,1,0,0,0,3,0
ENSG00000187730.8,0,0,1,1,2,4
ENSG00000067606.16,31,33,37,47,60,73
ENSG00000162585.16,6,11,9,12,14,21
ENSG00000157933.9,20,26,19,32,39,63
ENSG00000116151.13,12,20,8,16,8,22
ENSG00000157916.19,9,11,19,21,26,39
ENSG00000157911.10,5,10,3,8,9,20
ENSG00000149527.17,9,27,26,42,54,40
ENSG00000157881.13,19,30,34,28,45,59
ENSG00000197921.5,2,1,4,0,8,2
ENSG00000157873.17,0,0,0,1,1,0
ENSG00000157870.15,19,30,18,31,35,45
ENSG00000142606.15,1,0,3,1,0,1
ENSG00000215912.12,0,0,1,0,0,0
ENSG00000169717.6,0,0,0,0,0,0
ENSG00000142611.16,1,1,2,3,3,2
ENSG00000130762.14,0,0,0,1,0,0
ENSG00000162591.15,2,2,1,1,0,1
ENSG00000158109.14,14,32,27,34,58,72
ENSG00000116213.15,10,11,7,19,26,24
ENSG00000078900.14,0,0,1,1,1,1
ENSG00000162592.9,0,0,1,0,0,0
ENSG00000235169.8,0,0,0,0,0,0
ENSG00000130764.9,66,106,99,104,128,184
ENSG00000116198.12,22,27,22,28,33,59
ENSG00000169598.15,2,2,1,9,8,15
ENSG00000198912.10,6,7,11,17,15,27
ENSG00000196581.10,4,9,3,7,5,8
