Chr	Start	End	Name	Null	Strand	ExcludedBases	Coverage	IntronDepth	IntronDepth25Percentile	IntronDepth50Percentile	IntronDepth75Percentile	ExonToIntronReadsLeft	ExonToIntronReadsRight	IntronDepthFirst50bp	IntronDepthLast50bp	SpliceLeft	SpliceRight	SpliceExact	IRratio	Warnings	sample
chr19	17627940	17629239	UNC13A	0	-	10	1	36.412	25	36	48	21	39	16.85	37.8	234	214	214	0.134654	NonUniformIntronCover	CGND-HRA-00013
chr9	35384314	35385723	UNC13B	0	+	10	1	24.893	19	25	30	16	27	16.1	26.55	27	27	27	0.479699	NonUniformIntronCover	CGND-HRA-00013
chr19	17627940	17629239	UNC13A	0	-	10	1	15.3211	12	15	19	20	18	16.5	15.85	202	174	174	0.0704998	-	CGND-HRA-00014
chr9	35384314	35385723	UNC13B	0	+	10	1	16.7041	14	17	19	12	16	16.5	17.3	40	40	40	0.294584	-	CGND-HRA-00014
chr19	17627940	17629239	UNC13A	0	-	10	1	12.9923	6.5	14	18	15	8	8.4	7.7	145	117	117	0.0822335	NonUniformIntronCover	CGND-HRA-00015
chr9	35384314	35385723	UNC13B	0	+	10	1	14.7077	12	14	18	11	12	11.15	14.55	32	32	32	0.314888	-	CGND-HRA-00015
chr19	17627940	17629239	UNC13A	0	-	10	1	28.8356	18	26	46	22	34	23.15	37.05	152	119	119	0.159457	-	CGND-HRA-00016
chr9	35384314	35385723	UNC13B	0	+	10	1	14.4421	12	14	19	21	25	20.35	24.05	34	34	34	0.298131	NonUniformIntronCover	CGND-HRA-00016
chr19	17627940	17629239	UNC13A	0	-	10	1	20.5242	14	19	34.5	17	24	19.9	23.95	194	171	171	0.095673	-	CGND-HRA-00017
chr9	35384314	35385723	UNC13B	0	+	10	1	10.7683	7	11	14	3	8	5	11.7	51	50	50	0.174333	NonUniformIntronCover	CGND-HRA-00017
chr19	17627940	17629239	UNC13A	0	-	10	1	11.4352	7	11	17	10	14	11.6	14	97	87	87	0.105457	-	CGND-HRA-00018
chr9	35384314	35385723	UNC13B	0	+	10	1	9.38503	8	9	11	10	3	5.15	2	19	18	18	0.330633	NonUniformIntronCover	CGND-HRA-00018
chr19	17627940	17629239	UNC13A	0	-	10	1	15.5338	8	16	22	11	10	6.55	9	240	215	215	0.0607898	NonUniformIntronCover	CGND-HRA-00019
chr9	35384314	35385723	UNC13B	0	+	10	1	15.8984	12	16	19	20	16	16.9	17.6	34	34	34	0.318615	-	CGND-HRA-00019
chr19	17627940	17629239	UNC13A	0	-	10	0.972071	10.6364	5	10	17	5	9	5.2	9	127	108	108	0.0772787	NonUniformIntronCover	CGND-HRA-00020
chr9	35384314	35385723	UNC13B	0	+	10	1	18.9875	15	19	25	12	15	13.55	14.1	21	21	21	0.474836	NonUniformIntronCover	CGND-HRA-00020
chr19	17627940	17629239	UNC13A	0	-	10	1	19.8917	10	22	27	11	28	10.45	24.4	143	125	125	0.122116	NonUniformIntronCover	CGND-HRA-00021
chr9	35384314	35385723	UNC13B	0	+	10	1	16.7914	15	16	21	21	14	20.6	13.9	12	12	12	0.58321	-	CGND-HRA-00021
chr19	17627940	17629239	UNC13A	0	-	10	1	6.51064	4	6	10	5	8	3	8.3	189	172	172	0.0333007	-	CGND-HRA-00022
chr9	35384314	35385723	UNC13B	0	+	10	1	15.3815	13	15	18	11	7	15.25	11.5	33	33	33	0.317921	NonUniformIntronCover	CGND-HRA-00022
chr19	17627940	17629239	UNC13A	0	-	10	1	51.5609	34	52	69.5	55	81	61.95	72.3	214	173	173	0.194159	NonUniformIntronCover	CGND-HRA-00023
chr9	35384314	35385723	UNC13B	0	+	10	1	25.8235	20	26	31	41	29	35.15	30.6	40	40	40	0.392315	NonUniformIntronCover	CGND-HRA-00023
chr19	17627940	17629239	UNC13A	0	-	10	1	15.0948	9	14	26	13	21	8.8	22.6	144	116	116	0.0948792	-	CGND-HRA-00024
chr9	35384314	35385723	UNC13B	0	+	10	1	14.8414	12	15	18	17	13	16.2	15.55	29	29	29	0.338524	-	CGND-HRA-00024
chr19	17627940	17629239	UNC13A	0	-	10	1	16.0542	12	16	19	13	18	11.15	18	222	199	199	0.0674391	-	CGND-HRA-00025
chr9	35384314	35385723	UNC13B	0	+	10	1	19.0535	17	19	23	14	17	18.15	18.35	28	27	27	0.404932	-	CGND-HRA-00025
chr19	17627940	17629239	UNC13A	0	-	10	1	25.0309	19	25	30	18	27	15.95	27	249	214	214	0.0913435	-	CGND-HRA-00026
chr9	35384314	35385723	UNC13B	0	+	10	1	24.369	21	24	27	21	14	20.35	15.35	37	36	36	0.39709	NonUniformIntronCover	CGND-HRA-00026
chr19	17627940	17629239	UNC13A	0	-	10	0.906129	1.66151	1	2	2	1	1	1.35	1	10	9	9	0.142478	-	CGND-HRA-00027
chr9	35384314	35385723	UNC13B	0	+	10	1	15.3387	13	15	19	20	8	24.8	8	32	31	31	0.32402	NonUniformIntronCover	CGND-HRA-00027
chr19	17627940	17629239	UNC13A	0	-	10	0.528317	0.5706	0	1	1	0	0	0	0	1	1	1	0.345685	LowCover	CGND-HRA-00028
chr9	35384314	35385723	UNC13B	0	+	10	1	11.8627	8	12	16	8	3	7.05	4	35	34	34	0.253138	NonUniformIntronCover	CGND-HRA-00028
chr19	17627940	17629239	UNC13A	0	-	10	0.820016	2.01161	1	2	4	2	4	1	3.6	9	7	7	0.18268	LowCover	CGND-HRA-00029
chr9	35384314	35385723	UNC13B	0	+	10	1	8.94474	7	9	11	8	12	10	10.55	28	28	28	0.242111	-	CGND-HRA-00029
chr19	17627940	17629239	UNC13A	0	-	10	0.543057	0.60735	0	1	1	0	0	1	0	5	2	2	0.0979706	LowCover	CGND-HRA-00031
chr9	35384314	35385723	UNC13B	0	+	10	1	5.91444	4	6	7	7	6	4.55	6.35	30	30	30	0.164681	-	CGND-HRA-00031
chr19	17627940	17629239	UNC13A	0	-	10	0.998448	3.90135	2	4	6	2	7	2.85	9.85	20	16	16	0.163227	NonUniformIntronCover	CGND-HRA-00032
chr9	35384314	35385723	UNC13B	0	+	10	1	14.5651	12	15	17	9	12	11.8	11.4	27	27	27	0.350416	NonUniformIntronCover	CGND-HRA-00032
chr19	17627940	17629239	UNC13A	0	-	10	0.671063	1.25145	0	1	2	1	4	1	2.5	15	14	14	0.0770055	NonUniformIntronCover	CGND-HRA-00034
chr9	35384314	35385723	UNC13B	0	+	10	1	13.533	11	14	16	12	10	12.95	11.2	52	52	52	0.206506	-	CGND-HRA-00034
chr19	17627940	17629239	UNC13A	0	-	10	0.958883	2.86847	2	3	4	2	2	3	1	7	6	6	0.29067	LowCover	CGND-HRA-00035
chr9	35384314	35385723	UNC13B	0	+	10	1	21.4848	18	22	25	27	26	33	29.8	21	21	21	0.505706	-	CGND-HRA-00035
chr19	17627940	17629239	UNC13A	0	-	10	0.84872	2.41586	1	3	4	1	3	1	3.5	5	5	5	0.325769	LowCover	CGND-HRA-00036
chr9	35384314	35385723	UNC13B	0	+	10	1	17.8734	15	18	21	21	18	17.5	18	27	27	27	0.398308	-	CGND-HRA-00036
chr19	17627940	17629239	UNC13A	0	-	10	0.193949	0	0	0	0	0	0	0	0	1	1	1	0.162443	LowCover	CGND-HRA-00037
chr9	35384314	35385723	UNC13B	0	+	10	0.975697	4.4902	2	4	6	2	3	2	7.1	35	35	35	0.113704	NonUniformIntronCover	CGND-HRA-00037
chr19	17627940	17629239	UNC13A	0	-	10	0.938712	2.90909	2	3	4	5	5	5	3	6	6	6	0.326531	LowCover	CGND-HRA-00038
