Chr,Start,End,Name,Null,Strand,ExcludedBases,Coverage,IntronDepth,IntronDepth25Percentile,IntronDepth50Percentile,IntronDepth75Percentile,ExonToIntronReadsLeft,ExonToIntronReadsRight,IntronDepthFirst50bp,IntronDepthLast50bp,SpliceLeft,SpliceRight,SpliceExact,IRratio,Warnings sample,Warnings,sample
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,1,27.303,21,27,33,30,19,37.6,21.2,106,105,105,0.204819,- Cont-A_S1,-,Cont.A_S1
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,1,20.5401,19,20,23,27,12,23.65,14.45,168,168,168,0.108943,NonUniformIntronCover Cont-A_S1,NonUniformIntronCover,Cont.A_S1
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,1,31.4064,24,32,36,45,28,38.55,29.2,138,138,137,0.185391,- Cont-B_S2,-,Cont.B_S2
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,1,40.4015,33,41,47.5,31,21,32.55,23.7,230,230,230,0.149413,NonUniformIntronCover Cont-B_S2,NonUniformIntronCover,Cont.B_S2
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,1,18.6453,13,19,24,28,16,18.15,12.15,70,70,70,0.210336,NonUniformIntronCover Cont-C_S3,NonUniformIntronCover,Cont.C_S3
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,1,19.4599,16,20,23,25,7,26.55,12.45,89,89,89,0.17942,NonUniformIntronCover Cont-C_S3,NonUniformIntronCover,Cont.C_S3
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,1,26.5348,17,27,33,32,18,37.2,17.9,117,114,114,0.184866,- Cont-D_S4,-,Cont.D_S4
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,1,20.9416,17,20,27,14,17,17,16.15,180,181,180,0.103701,- Cont-D_S4,-,Cont.D_S4
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.961401,3.05526,2,3,4,5,2,3.7,1.35,42,42,42,0.0678114,- control_fluorescent_2,-,control_fluorescent_2
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,0.730205,1.85401,0,2,3,2,1,2.7,0.75,50,50,50,0.0357545,- control_fluorescent_2,-,control_fluorescent_2
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.763402,1.48663,1,1,2,2,0,0.7,0,17,17,17,0.0804165,- control_fluorescent_3,-,control_fluorescent_3
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,0.583578,0.708029,0,1,1,0,1,0.55,0.6,24,24,24,0.0237385,- control_fluorescent_3,-,control_fluorescent_3
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.986419,5.98574,4,6,8,13,7,6.75,6.5,39,39,39,0.133059,NonUniformIntronCover control_none_1,NonUniformIntronCover,control_none_1
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,1,4.81022,4,5,7,4,6,3.1,4.5,47,47,47,0.0928431,- control_none_1,-,control_none_1
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.929235,2.22638,1,2,3,3,3,2,2.25,43,43,43,0.0492275,- control_none_2,-,control_none_2
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,1,4.54745,4,5,6,2,3,3.4,3,37,37,37,0.109452,NonUniformIntronCover control_none_2,NonUniformIntronCover,control_none_2
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.463903,0.409982,0,0,1,2,1,1,1,10,10,10,0.0443336,- control_none_3,-,control_none_3
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,0.870968,1.14599,1,1,2,0,0,1.25,0,19,19,19,0.0568841,- control_none_3,-,control_none_3
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.995711,3.15865,2,3,5,9,4,2.4,4,49,50,49,0.0594192,NonUniformIntronCover control_scramble_1,NonUniformIntronCover,control_scramble_1
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,1,4.0219,3,4,5,2,5,2.85,4.3,70,70,70,0.0543339,NonUniformIntronCover control_scramble_1,NonUniformIntronCover,control_scramble_1
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.970693,4.61676,3,4,7,10,4,5.2,4.8,48,48,48,0.0877431,NonUniformIntronCover control_scramble_2,NonUniformIntronCover,control_scramble_2
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,1,7.69343,6,8,9,3,4,5.75,4.6,53,53,53,0.126759,NonUniformIntronCover control_scramble_2,NonUniformIntronCover,control_scramble_2
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.934239,3.27986,2,3,5,7,1,7,2,30,29,29,0.0985538,NonUniformIntronCover control_scramble_3,NonUniformIntronCover,control_scramble_3
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,0.967742,2.81022,1,3,4,1,3,3,1.8,44,45,44,0.0587786,- control_scramble_3,-,control_scramble_3
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.921372,2.39572,1,2,3,6,3,3.8,2,32,32,32,0.0696517,NonUniformIntronCover control_scramble_4,NonUniformIntronCover,control_scramble_4
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,0.841642,1.69343,1,2,3,0,3,0.95,3,33,33,33,0.0488113,- control_scramble_4,-,control_scramble_4
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.656898,1.24064,0,1,3,1,2,2.1,2,21,21,21,0.0557826,- control_scramble_5,-,control_scramble_5
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,0.246334,0,0,0,0,1,0,1,0,22,22,22,0.011073,- control_scramble_5,-,control_scramble_5
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,0.857756,1.73975,1,2,3,4,1,4.4,1,23,23,23,0.0703221,NonUniformIntronCover control_scramble_6,NonUniformIntronCover,control_scramble_6
chr9,35385813,35386164,UNC13B/ENSG00000198722.14/clean,0,+,10,0.903226,1,1,1,1,2,1,1,1,27,27,27,0.0357143,- control_scramble_6,-,control_scramble_6
chr9,35384314,35385723,UNC13B/ENSG00000198722.14/clean,0,+,10,1,7.54724,5,7,10,13,10,11.2,8.65,105,105,105,0.0670584,NonUniformIntronCover CTR01,NonUniformIntronCover,CTR01
