pos,sample,xls,condition,normalised_counts
1,HA,25,H,0.1561036528254761
2,HA,11,H,0.06868560724320949
3,HA,18,H,0.1123946300343428
4,HA,15,H,0.09366219169528567
5,HA,34,H,0.21230096784264751
6,HA,50,H,0.3122073056509522
7,HA,20,H,0.12488292226038089
8,HA,27,H,0.1685919450515142
9,HA,25,H,0.1561036528254761
10,HA,61,H,0.3808929128941617
11,HA,58,H,0.3621604745551046
12,HA,21,H,0.13112706837339994
13,HA,8,H,0.049953168904152356
14,HA,78,H,0.4870433968154855
15,HA,9,H,0.0561973150171714
16,HA,9,H,0.0561973150171714
17,HA,2,H,0.012488292226038089
18,HA,5,H,0.031220730565095223
19,HA,6,H,0.03746487667811427
20,HA,8,H,0.049953168904152356
21,HA,10,H,0.062441461130190445
22,HA,13,H,0.08117389946924758
23,HA,34,H,0.21230096784264751
24,HA,31,H,0.19356852950359038
25,HA,12,H,0.07492975335622853
26,HA,7,H,0.04370902279113331
27,HA,9,H,0.0561973150171714
28,HA,8,H,0.049953168904152356
29,HA,4,H,0.024976584452076178
30,HA,5,H,0.031220730565095223
31,HA,4,H,0.024976584452076178
32,HA,6,H,0.03746487667811427
33,HA,5,H,0.031220730565095223
34,HA,6,H,0.03746487667811427
35,HA,9,H,0.0561973150171714
36,HA,7,H,0.04370902279113331
37,HA,7,H,0.04370902279113331
38,HA,12,H,0.07492975335622853
39,HA,6,H,0.03746487667811427
40,HA,11,H,0.06868560724320949
41,HA,9,H,0.0561973150171714
42,HA,3,H,0.018732438339057134
43,HA,10,H,0.062441461130190445
44,HA,10,H,0.062441461130190445
45,HA,4,H,0.024976584452076178
46,HA,2,H,0.012488292226038089
47,HA,5,H,0.031220730565095223
48,HA,2,H,0.012488292226038089
50,HA,2,H,0.012488292226038089
51,HA,1,H,0.0062441461130190445
52,HA,3,H,0.018732438339057134
53,HA,4,H,0.024976584452076178
55,HA,1,H,0.0062441461130190445
56,HA,2,H,0.012488292226038089
57,HA,5,H,0.031220730565095223
59,HA,1,H,0.0062441461130190445
60,HA,2,H,0.012488292226038089
61,HA,3,H,0.018732438339057134
62,HA,5,H,0.031220730565095223
63,HA,2,H,0.012488292226038089
64,HA,2,H,0.012488292226038089
65,HA,1,H,0.0062441461130190445
66,HA,1,H,0.0062441461130190445
67,HA,1,H,0.0062441461130190445
68,HA,1,H,0.0062441461130190445
69,HA,3,H,0.018732438339057134
70,HA,2,H,0.012488292226038089
71,HA,1,H,0.0062441461130190445
72,HA,2,H,0.012488292226038089
73,HA,10,H,0.062441461130190445
74,HA,13,H,0.08117389946924758
75,HA,10,H,0.062441461130190445
76,HA,37,H,0.23103340618170465
77,HA,23,H,0.14361536059943802
78,HA,12,H,0.07492975335622853
79,HA,17,H,0.10615048392132376
80,HA,4,H,0.024976584452076178
81,HA,2,H,0.012488292226038089
82,HA,2,H,0.012488292226038089
84,HA,1,H,0.0062441461130190445
85,HA,13,H,0.08117389946924758
86,HA,17,H,0.10615048392132376
87,HA,15,H,0.09366219169528567
88,HA,17,H,0.10615048392132376
89,HA,34,H,0.21230096784264751
90,HA,13,H,0.08117389946924758
91,HA,10,H,0.062441461130190445
92,HA,9,H,0.0561973150171714
93,HA,2,H,0.012488292226038089
94,HA,7,H,0.04370902279113331
95,HA,2,H,0.012488292226038089
96,HA,2,H,0.012488292226038089
97,HA,1,H,0.0062441461130190445
98,HA,2,H,0.012488292226038089
99,HA,6,H,0.03746487667811427
100,HA,12,H,0.07492975335622853
101,HA,3,H,0.018732438339057134
102,HA,3,H,0.018732438339057134
103,HA,5,H,0.031220730565095223
104,HA,1,H,0.0062441461130190445
105,HA,1,H,0.0062441461130190445
106,HA,2,H,0.012488292226038089
108,HA,1,H,0.0062441461130190445
109,HA,2,H,0.012488292226038089
112,HA,3,H,0.018732438339057134
113,HA,13,H,0.08117389946924758
114,HA,3,H,0.018732438339057134
115,HA,3,H,0.018732438339057134
116,HA,10,H,0.062441461130190445
117,HA,18,H,0.1123946300343428
118,HA,5,H,0.031220730565095223
119,HA,17,H,0.10615048392132376
120,HA,3,H,0.018732438339057134
121,HA,4,H,0.024976584452076178
122,HA,8,H,0.049953168904152356
123,HA,12,H,0.07492975335622853
124,HA,7,H,0.04370902279113331
125,HA,78,H,0.4870433968154855
126,HA,92,H,0.5744614423977521
127,HA,95,H,0.5931938807368092
128,HA,66,H,0.41211364345925694
129,HA,31,H,0.19356852950359038
130,HA,18,H,0.1123946300343428
131,HA,7,H,0.04370902279113331
132,HA,5,H,0.031220730565095223
133,HA,15,H,0.09366219169528567
134,HA,8,H,0.049953168904152356
135,HA,3,H,0.018732438339057134
136,HA,6,H,0.03746487667811427
137,HA,11,H,0.06868560724320949
138,HA,3,H,0.018732438339057134
139,HA,5,H,0.031220730565095223
140,HA,8,H,0.049953168904152356
141,HA,87,H,0.5432407118326569
142,HA,26,H,0.16234779893849516
143,HA,17,H,0.10615048392132376
144,HA,31,H,0.19356852950359038
145,HA,2,H,0.012488292226038089
146,HA,3,H,0.018732438339057134
147,HA,4,H,0.024976584452076178
148,HA,7,H,0.04370902279113331
149,HA,6,H,0.03746487667811427
150,HA,7,H,0.04370902279113331
151,HA,36,H,0.2247892600686856
152,HA,16,H,0.09990633780830471
153,HA,17,H,0.10615048392132376
154,HA,12,H,0.07492975335622853
155,HA,24,H,0.14985950671245707
156,HA,92,H,0.5744614423977521
157,HA,53,H,0.33093974399000936
158,HA,8,H,0.049953168904152356
159,HA,9,H,0.0561973150171714
160,HA,11,H,0.06868560724320949
161,HA,8,H,0.049953168904152356
162,HA,11,H,0.06868560724320949
163,HA,4,H,0.024976584452076178
164,HA,10,H,0.062441461130190445
165,HA,5,H,0.031220730565095223
166,HA,9,H,0.0561973150171714
167,HA,4,H,0.024976584452076178
168,HA,35,H,0.21854511395566656
169,HA,32,H,0.19981267561660943
170,HA,6,H,0.03746487667811427
171,HA,10,H,0.062441461130190445
172,HA,11,H,0.06868560724320949
173,HA,56,H,0.3496721823290665
174,HA,158,H,0.986575085857009
175,HA,66,H,0.41211364345925694
176,HA,76,H,0.4745551045894474
177,HA,26,H,0.16234779893849516
178,HA,18,H,0.1123946300343428
179,HA,17,H,0.10615048392132376
180,HA,11,H,0.06868560724320949
181,HA,13,H,0.08117389946924758
182,HA,14,H,0.08741804558226662
183,HA,56,H,0.3496721823290665
184,HA,16,H,0.09990633780830471
185,HA,6,H,0.03746487667811427
186,HA,39,H,0.24352169840774274
187,HA,29,H,0.1810802372775523
188,HA,73,H,0.45582266625039025
189,HA,87,H,0.5432407118326569
190,HA,112,H,0.699344364658133
191,HA,71,H,0.44333437402435216
192,HA,18,H,0.1123946300343428
193,HA,20,H,0.12488292226038089
194,HA,78,H,0.4870433968154855
195,HA,26,H,0.16234779893849516
196,HA,53,H,0.33093974399000936
197,HA,3,H,0.018732438339057134
198,HA,16,H,0.09990633780830471
199,HA,9,H,0.0561973150171714
200,HA,16,H,0.09990633780830471
201,HA,2,H,0.012488292226038089
202,HA,11,H,0.06868560724320949
203,HA,47,H,0.2934748673118951
