chr,start,end.x,score1,end.y,score2,total
chr19,17600023,17600024,1,0,0,1
chr19,17600717,17600718,1,0,0,1
chr19,17601370,17601371,1,0,0,1
chr19,17601415,17601416,1,0,0,1
chr19,17601444,17601445,1,0,0,1
chr19,17601451,17601452,1,0,0,1
chr19,17601556,17601557,1,0,0,1
chr19,17601756,17601757,1,0,0,1
chr19,17601779,17601780,1,0,0,1
chr19,17601781,17601782,1,0,0,1
chr19,17601797,17601798,1,0,0,1
chr19,17601804,17601805,1,0,0,1
chr19,17601878,17601879,1,0,0,1
chr19,17601924,17601925,1,0,0,1
chr19,17601954,17601955,2,0,0,2
chr19,17601971,17601972,1,0,0,1
chr19,17602167,17602168,1,0,0,1
chr19,17602179,17602180,1,0,0,1
chr19,17602191,17602192,1,0,0,1
chr19,17602247,17602248,1,0,0,1
chr19,17602281,17602282,1,0,0,1
chr19,17602286,17602287,1,0,0,1
chr19,17602294,17602295,1,0,0,1
chr19,17602302,17602303,1,0,0,1
chr19,17602336,17602337,1,0,0,1
chr19,17602346,17602347,1,0,0,1
chr19,17602349,17602350,1,0,0,1
chr19,17602351,17602352,1,0,0,1
chr19,17602400,17602401,2,0,0,2
chr19,17602470,17602471,1,0,0,1
chr19,17602600,17602601,2,0,0,2
chr19,17602614,17602615,1,0,0,1
chr19,17602631,17602632,1,0,0,1
chr19,17602742,17602743,1,0,0,1
chr19,17602761,17602762,1,0,0,1
chr19,17602767,17602768,1,0,0,1
chr19,17602786,17602787,1,0,0,1
chr19,17602794,17602795,1,0,0,1
chr19,17602806,17602807,1,0,0,1
chr19,17602813,17602814,1,0,0,1
chr19,17602858,17602859,1,0,0,1
chr19,17602864,17602865,1,0,0,1
chr19,17602895,17602896,1,0,0,1
chr19,17602902,17602903,1,0,0,1
chr19,17602920,17602921,1,0,0,1
chr19,17602922,17602923,1,0,0,1
chr19,17602997,17602998,1,0,0,1
chr19,17603018,17603019,1,0,0,1
chr19,17603052,17603053,1,0,0,1
chr19,17603099,17603100,1,0,0,1
chr19,17603108,17603109,1,0,0,1
chr19,17603140,17603141,1,0,0,1
chr19,17603142,17603143,1,0,0,1
chr19,17603148,17603149,2,0,0,2
chr19,17603234,17603235,1,0,0,1
chr19,17603236,17603237,1,0,0,1
chr19,17603238,17603239,1,0,0,1
chr19,17603242,17603243,1,0,0,1
chr19,17603262,17603263,1,0,0,1
chr19,17603263,17603264,1,0,0,1
chr19,17603264,17603265,1,0,0,1
chr19,17603294,17603295,1,0,0,1
chr19,17603323,17603324,1,0,0,1
chr19,17603324,17603325,1,0,0,1
chr19,17603332,17603333,1,0,0,1
chr19,17603344,17603345,1,0,0,1
chr19,17603348,17603349,1,0,0,1
chr19,17603360,17603361,2,0,0,2
chr19,17603368,17603369,2,0,0,2
chr19,17603373,17603374,1,0,0,1
chr19,17603380,17603381,1,0,0,1
chr19,17603387,17603388,1,0,0,1
chr19,17603388,17603389,2,0,0,2
chr19,17603389,17603390,2,0,0,2
chr19,17603395,17603396,1,0,0,1
chr19,17603404,17603405,2,0,0,2
chr19,17603409,17603410,2,0,0,2
chr19,17603414,17603415,1,0,0,1
chr19,17603418,17603419,1,0,0,1
chr19,17603422,17603423,1,0,0,1
chr19,17603424,17603425,1,0,0,1
chr19,17603428,17603429,1,0,0,1
chr19,17603470,17603471,1,0,0,1
chr19,17603475,17603476,1,0,0,1
chr19,17603476,17603477,1,0,0,1
chr19,17603477,17603478,1,0,0,1
