gene_name,gene_id,lsv_id,deltaPSI,p_d_psi_0_10_per_lsv_junction,FDR,control_e_psi,tdp_kd_e_psi,lsv_type,a5ss,a3ss,es,num_junctions,num_exons,de_novo_junctions,chr,strand,lsv_junc,exon_start,exon_end,junc_start,junc_end,ir_start,ir_end,junc_dist,paste_into_igv_junction,paste_into_igv_exon,exon_length,exon_mod_3,exon_type
CACNA2D2,ENSG00000007402.11,ENSG00000007402.11:s:50374737-50374813,0.118402055493963,0.594777183830947,3.5523956471113e-06,0.745,0.895,s|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,1,chr3,-,ENSG00000007402.11:s:50374737-50374813_50373085-50374737,50370320,50370380,50373085,50374737,,,1652,chr3:50373085-50374737,chr3:50370320-50370380,60,0,source
CACNA2D2,ENSG00000007402.11,ENSG00000007402.11:s:50374737-50374813,-0.118402104503771,0.594777659618967,3.55258062012531e-06,0.255,0.105,s|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,1,chr3,-,ENSG00000007402.11:s:50374737-50374813_50370380-50374737,50373065,50373085,50370380,50374737,,,4357,chr3:50370380-50374737,chr3:50373065-50373085,20,2,source
SLC45A4,ENSG00000022567.9,ENSG00000022567.9:t:141221577-141221765,0.149956116168065,0.747770251581941,2.14184685906307e-06,0.045,0.225,t|1e1.1o1|1e2.2o2,FALSE,FALSE,TRUE,2,3,1,chr8,-,ENSG00000022567.9:t:141221577-141221765_141221765-141308096,141221577,141221765,141221765,141308096,,,86331,chr8:141221765-141308096,chr8:141221577-141221765,188,2,target
SLC45A4,ENSG00000022567.9,ENSG00000022567.9:t:141221577-141221765,-0.14995615224645,0.747770636526603,2.14195595282796e-06,0.955,0.775,t|1e1.1o1|1e2.2o2,FALSE,FALSE,TRUE,2,3,1,chr8,-,ENSG00000022567.9:t:141221577-141221765_141221765-141253989,141253989,141254629,141221765,141253989,,,32224,chr8:141221765-141253989,chr8:141253989-141254629,640,1,target
BRD9,ENSG00000028310.18,ENSG00000028310.18:t:850291-850602,-0.247345791847947,0.996486662953293,1.44190311912595e-08,0.943,0.685,t|1e1.1o1|1e2.1o2|1e3.1o1|1e4.1o1,FALSE,FALSE,TRUE,4,5,1,chr5,-,ENSG00000028310.18:t:850291-850602_850602-878355,850291,850602,850602,878355,,,27753,chr5:850602-878355,chr5:850291-850602,311,2,target
BRD9,ENSG00000028310.18,ENSG00000028310.18:t:850291-850602,0.0541872143494485,0.0916070468559428,3.35211678059988e-05,0.015,0.091,t|1e1.1o1|1e2.1o2|1e3.1o1|1e4.1o1,FALSE,FALSE,TRUE,4,5,0,chr5,-,ENSG00000028310.18:t:850291-850602_850602-860544,859550,nan,850602,860544,,,9942,chr5:850602-860544,chr5:859550-nan,,,target
BRD9,ENSG00000028310.18,ENSG00000028310.18:t:850291-850602,0.0695243086999357,0.209114522436905,1.33732459027641e-05,0.015,0.108,t|1e1.1o1|1e2.1o2|1e3.1o1|1e4.1o1,FALSE,FALSE,TRUE,4,5,0,chr5,-,ENSG00000028310.18:t:850291-850602_850602-859601,859601,nan,850602,859601,,,8999,chr5:850602-859601,chr5:859601-nan,,,target
BRD9,ENSG00000028310.18,ENSG00000028310.18:t:850291-850602,0.0718579897018168,0.259218810304061,9.40047025872681e-06,0.028,0.118,t|1e1.1o1|1e2.1o2|1e3.1o1|1e4.1o1,FALSE,FALSE,TRUE,4,5,0,chr5,-,ENSG00000028310.18:t:850291-850602_850602-859550,860195,860683,850602,859550,,,8948,chr5:850602-859550,chr5:860195-860683,488,2,target
CYFIP2,ENSG00000055163.20,ENSG00000055163.20:t:157330742-157330850,-0.119078096402789,0.685699726498701,4.03455156627874e-06,1,0.854,t|1e1.2o2|1e2.1o1|i,FALSE,FALSE,TRUE,3,3,1,chr5,+,ENSG00000055163.20:t:157330742-157330850_157328049-157330742,157327925,157328049,157328049,157330742,157330227,157330741,2693,chr5:157328049-157330742,chr5:157327925-157328049,124,1,target
CYFIP2,ENSG00000055163.20,ENSG00000055163.20:t:157330742-157330850,0.00154472499630217,2.0094359510442e-10,0.474971631045128,0,0.039,t|1e1.2o2|1e2.1o1|i,FALSE,FALSE,TRUE,3,3,0,chr5,+,ENSG00000055163.20:t:157330742-157330850_157330227-157330742,157330162,157330227,157330227,157330742,,,515,chr5:157330227-157330742,chr5:157330162-157330227,65,2,target
